,Track ID,Total Time,Year,BPM,Date Added,Play Count,Skip Count,Rating,Name,Artist,Genre
91,1533,286693,1986,96,2016-02-12T19:42:27Z,34,10,20,No Sleep Till Brooklyn,Beastie Boys,Hip Hop/Rap
92,1535,247222,1995,158,2016-02-12T19:42:27Z,28,7,,Boombastic,Shaggy,Pop
93,1537,226063,1990,130,2016-02-12T19:42:27Z,49,10,,Personal Jesus,Depeche Mode,Rock
94,1539,161697,1958,84,2016-02-12T19:42:27Z,44,9,,Johnny B. Goode,Chuck Berry,Rock
95,1541,430027,1987,99,2016-02-12T19:42:27Z,34,14,20,Paid In Full (Coldcut Remix),Eric B. & Rakim,Hip Hop/Rap
96,1543,885159,1979,111,2016-02-12T19:42:27Z,22,12,20,Rapper's Delight,Sugarhill Gang,Hip Hop/Rap
97,1545,248163,1982,113,2016-02-12T19:42:27Z,62,19,100,Under Pressure,Queen and David Bowie,Rock
98,1547,175386,1958,99,2016-02-12T19:42:27Z,37,14,,I Got A Woman,Ray Charles,Blues/R&B
99,1549,332094,1988,98,2016-02-12T19:42:27Z,39,9,20,Gangsta Gangsta,N.W.A,Hip Hop/Rap
100,1551,364199,1982,100,2016-02-12T19:42:27Z,38,17,,The Message,Grandmaster Flash and the Furious Five,Hip Hop/Rap
101,1553,160966,1983,62,2016-02-12T19:42:27Z,43,11,,Buffalo Soldier,Bob Marley & the Wailers,Reggae
102,1555,344111,1988,99,2016-02-12T19:42:27Z,40,15,20,Fuck Tha Police,N.W.A,Hip Hop/Rap
103,1557,255477,2012,128,2016-02-12T19:42:27Z,31,6,,Professional Griefers,deadmau5,Electronic
104,1559,249939,2003,90,2016-02-12T19:42:27Z,34,12,20,In da Club,50 Cent,Hip Hop/Rap
105,1561,334942,1996,91,2016-02-12T19:42:27Z,32,10,20,California Love,2Pac,Hip Hop/Rap
106,1563,261120,1994,85,2016-02-12T19:42:27Z,28,11,20,Big Poppa,The Notorious B.I.G.,Hip Hop/Rap
107,1565,194899,2004,87,2016-02-12T19:42:27Z,30,11,,Jesus Walks,Kanye West,Hip Hop/Rap
108,1567,299284,1994,96,2016-02-12T19:42:27Z,28,16,20,Juicy,The Notorious B.I.G.,Hip Hop/Rap
109,1569,264646,1988,94,2016-02-12T19:42:27Z,31,7,20,Microphone Fiend,Eric B. & Rakim,Hip Hop/Rap
110,1571,263967,1991,102,2016-02-12T19:42:27Z,26,11,20,Scenario,A Tribe Called Quest,Hip Hop/Rap
111,1573,115565,2015,108,2016-02-13T17:56:36Z,30,11,,Whiplash,Hank Levy,Soundtrack
112,1575,338050,2002,82,2016-02-13T18:02:57Z,37,9,20,Sing For The Moment,Eminem,Hip Hop/Rap
113,1577,234893,1965,137,2016-02-13T18:07:21Z,76,7,100,(I Can't Get No) Satisfaction,The Rolling Stones,Rock
114,1579,211043,1977,134,2016-02-13T18:12:29Z,43,11,,Anarchy In The U.K.,Sex Pistols,Rock
115,1581,235363,1997,125,2016-02-13T18:14:54Z,54,4,,Du Hast,Rammstein,Metal
116,1583,290142,2002,112,2016-02-13T18:20:31Z,30,7,20,Without Me,Eminem,Hip Hop/Rap
117,1585,285100,1992,95,2016-02-13T18:28:38Z,31,12,,Nuthin But A 'G' Thang,Dr. Dre,Hip Hop/Rap
118,1587,436375,1971,151,2016-02-13T18:31:30Z,30,11,20,Can't You Hear Me Knocking,The Rolling Stones,Rock
119,1589,132649,1956,95,2016-02-13T18:33:54Z,54,15,,Blue Suede Shoes,Elvis Presley,Rock
120,1591,155506,1964,133,2016-02-13T18:41:51Z,43,18,,I Want To Hold Your Hand,The Beatles,Rock
121,1593,215928,2003,95,2016-02-14T11:44:11Z,34,9,,X Gon' Give It To Ya,DMX,Hip Hop/Rap
122,1595,302550,2002,130,2016-02-14T11:46:20Z,45,17,20,Superman,Eminem,Hip Hop/Rap
123,1597,300382,1970,88,2016-02-14T11:50:54Z,84,7,100,Gallows Pole,Led Zeppelin,Rock
124,1599,241293,1979,104,2016-02-14T11:54:24Z,58,16,20,Another Brick in the Wall (Part II),Pink Floyd,Rock
125,1601,264124,,114,2016-02-14T11:58:47Z,33,12,20,گندم و كي مي خوره,مرتضی احمدی,
126,1603,168124,1963,80,2016-02-14T12:03:13Z,40,14,20,Roll Over Beethoven,The Beatles,Rock
127,1605,144796,1956,93,2016-02-14T12:08:18Z,45,13,,Roll Over Beethoven,Chuck Berry,Rock
128,1607,234004,2011,105,2016-02-14T12:12:44Z,36,5,20,Rolling in the Deep,Adele,Pop
129,1609,289436,2012,75,2016-02-14T12:15:08Z,24,12,,Skyfall,Adele,Pop
130,1611,342517,1997,83,2016-02-14T12:18:26Z,31,10,,16 On Death Row,2Pac,Hip Hop/Rap
131,1613,274938,1999,93,2016-02-14T12:23:43Z,36,25,20,Still D.R.E.,Dr. Dre,Hip Hop/Rap
132,1615,225384,1999,134,2016-02-14T12:26:42Z,27,12,20,Forgot About Dre,Dr. Dre,Hip Hop/Rap
133,1617,257332,2003,93,2016-02-14T12:29:39Z,34,14,,99 Problems,Jay-Z,Hip Hop/Rap
134,1619,195683,2011,95,2016-02-14T12:33:08Z,34,15,,Otis,Jay-Z and Kanye West,Hip Hop/Rap
135,1621,227317,1967,83,2016-02-23T12:41:12Z,45,11,,Hey Joe,The Jimi Hendrix Experience,Rock
136,1623,241319,1968,112,2016-02-23T12:57:24Z,73,11,80,All Along The Watchtower,The Jimi Hendrix Experience,Rock
137,1625,313626,1968,87,2016-02-23T13:00:11Z,32,13,80,Voodoo Child (Slight Return),The Jimi Hendrix Experience,Rock
138,1627,274938,1988,123,2016-02-23T13:03:51Z,54,9,20,Welcome To The Jungle,Guns N' Roses,Rock
139,1629,203284,1966,93,2016-02-23T13:16:12Z,43,6,,The Ecstacy of Gold,Ennio Morricone,Soundtrack
140,1631,217495,1999,89,2016-02-23T13:21:52Z,36,12,,Scar Tissue,Red Hot Chili Peppers,Rock
141,1633,342047,1999,96,2016-02-23T13:24:50Z,51,11,,Californication,Red Hot Chili Peppers,Rock
142,1635,252133,1993,90,2016-02-23T13:27:32Z,39,6,20,C.R.E.A.M.,Wu-Tang Clan,Hip Hop/Rap
143,1637,249443,,112,2016-02-24T18:09:20Z,49,5,100,Dovahkiin (Metal Cover),  ,Soundtrack
144,1639,176875,1965,73,2016-02-24T18:11:43Z,39,21,20,I Got You (I Feel Good),James Brown,Blues/R&B
145,1641,299128,1988,127,2016-02-24T18:16:52Z,57,14,20,Sweet Child O' Mine,Guns N' Roses,Rock
146,1643,291448,1971,133,2016-02-24T18:21:34Z,65,15,40,Misty Mountain Hop,Led Zeppelin,Rock
147,1645,292519,1973,41,2016-02-24T18:26:20Z,43,10,20,Over the Hills and Far Away,Led Zeppelin,Rock
148,1647,309577,1976,109,2016-02-25T11:43:28Z,27,13,20,Somebody To Love,Queen,Rock
149,1649,152816,1993,156,2016-02-25T11:48:58Z,70,14,,Somebody to love,Ramones,Rock
150,1651,215327,2014,44,2016-02-25T11:51:35Z,41,8,,The Hanging Tree,James Newton Howard,Soundtrack
151,1653,189701,1991,137,2016-02-25T11:56:23Z,45,12,20,Live And Let Die,Guns N' Roses,Rock
152,1655,218200,2003,88,2016-02-27T17:58:28Z,31,11,,Going Under,Evanescence,Metal
153,1657,140146,1965,159,2016-02-27T18:01:25Z,38,10,,Barbara Ann,The Beach Boys,Rock
154,1659,259056,2002,131,2016-02-27T18:04:35Z,34,15,,Clocks,Coldplay,Rock
155,1661,252969,2003,95,2016-02-27T18:08:08Z,36,13,,Bring Me To Life,Evanescence,Metal
156,1663,164048,1957,106,2016-02-27T18:18:44Z,39,9,,I Walk the Line,Johnny Cash,Country
157,1665,153025,1958,83,2016-02-27T18:23:31Z,44,11,20,Rock And Roll Music,Chuck Berry,Rock
158,1667,150987,1964,83,2016-02-27T18:30:07Z,51,8,,Rock And Roll Music,The Beatles,Rock
159,1669,297351,2013,147,2016-03-11T17:55:29Z,23,8,,She Knows,J. Cole,Hip Hop/Rap
160,1671,270445,1974,126,2016-03-11T18:07:18Z,59,7,20,Rebel Rebel,David Bowie,Rock
161,1673,377234,1968,78,2016-03-11T18:13:52Z,31,11,,Hey Jude,The Beatles,Rock
162,1675,312607,1967,77,2016-03-11T18:20:32Z,46,13,,A Day in the Life,The Beatles,Rock
163,1677,232594,1970,73,2016-03-11T18:22:35Z,39,15,,Let It Be,The Beatles,Rock
164,1679,334471,1969,93,2016-03-11T18:29:47Z,49,6,100,Whole Lotta Love,Led Zeppelin,Rock
165,1681,282331,1971,86,2016-03-11T18:34:18Z,70,9,30,Black Dog,Led Zeppelin,Rock
